date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
11/30/2010,33.7401,35.3301,33.4101,35.3301,2222957,2.3553,2.91,20900203.35
12/1/2010,35.8701,36.42,33.45,34.35,1299174,2.29,-2.77,21632735.8
12/2/2010,34.0101,34.2975,31.2,32.3499,2006966,2.1567,-5.82,22857311.75
12/3/2010,32.01,32.25,30.87,31.4901,1160459,2.0993,-2.66,22321556
12/6/2010,31.35,31.4499,29.5599,30.3099,1274374,2.0207,-3.74,22519127.75
12/7/2010,30.4899,32.4,30.0501,31.56,1311547,2.104,4.12,23120682.45
12/8/2010,32.4801,32.49,31.5201,32.37,660980,2.158,2.57,22898105.75
12/9/2010,32.5101,32.7201,31.65,32.0499,405983,2.1367,-0.99,20906814.6
12/10/2010,32.0499,32.9199,31.1301,31.5201,429381,2.1013,-1.66,19770029.9
12/13/2010,31.6401,31.77,30.3999,30.5499,410331,2.0367,-3.07,18030901.5
12/14/2010,30.2901,30.39,27.7611,28.53,1766909,1.902,-6.61,17387234.3
12/15/2010,28.6701,29.97,28.53,29.6001,742900,1.9733,3.75,16933611.1
12/16/2010,30,30.9099,29.6502,30.81,790069,2.054,4.09,16963407.8
12/17/2010,31.3401,31.5399,30.7101,31.3599,813816,2.0907,1.79,16856584.55
12/20/2010,31.6401,32.19,31.26,31.7001,523320,2.1133,1.08,16386204.1
12/21/2010,31.8,32.6901,31.71,32.2599,777677,2.1507,1.77,15821983.6
12/22/2010,32.25,32.8599,31.7001,32.6301,833255,2.1753,1.14,15263373.1
12/23/2010,31.26,32.4801,29.9199,30.09,1557124,2.006,-7.78,15362497.6
12/27/2010,28.02,28.5801,25.0599,25.5489,9302328,1.7033,-15.09,22076328.55
12/28/2010,25.8501,26.7501,24.9999,26.4099,4056588,1.7607,3.37,24259612.95
12/29/2010,27.03,28.0101,26.4999,27.7299,3319429,1.8487,5,25081966.9
12/30/2010,27.6999,27.9,26.3799,26.4999,2041066,1.7667,-4.44,25638385.9
12/31/2010,26.5701,27.2499,26.4999,26.6301,1417846,1.7753,0.49,25196545.9
1/3/2011,26.8401,27,25.8999,26.6199,1284083,1.7747,-0.03,25289263.9
1/4/2011,26.6601,26.9499,26.0199,26.67,1189070,1.778,0.19,25225285.9
1/5/2011,26.4801,26.9001,26.19,26.8299,1446868,1.7887,0.6,25326776.65
1/6/2011,26.8299,27.9999,26.8101,27.8799,2061216,1.8587,3.91,26376954.35
1/7/2011,27.9999,28.5801,27.9,28.2399,2249539,1.8827,1.29,27759622.05
1/10/2011,28.17,28.68,28.05,28.4499,1342811,1.8967,0.74,28444695.25
1/11/2011,28.59,28.71,26.9199,26.9601,1711354,1.7973,-5.24,29420463.2
1/12/2011,27.0099,27.399,26.52,26.9601,964721,1.7973,0,28818822.2
1/13/2011,26.9601,26.97,26.16,26.22,723522,1.748,-2.74,28804288.7
1/14/2011,26.1501,26.58,25.6101,25.7499,1192120,1.7167,-1.79,29105826.95
1/18/2011,25.4799,25.6401,24.75,25.6401,1623838,1.7093,-0.43,29713343.45
1/19/2011,25.2699,25.47,23.7501,24.03,2371513,1.602,-6.28,31099488.85
1/20/2011,24.03,24.45,22.3701,22.62,2279957,1.508,-5.87,32226198.85
1/21/2011,23.1201,23.5899,22.71,23.04,1216940,1.536,1.86,32513962.6
1/24/2011,23.5299,24.81,23.2299,24.4899,1645188,1.6327,6.3,32580010.6
1/25/2011,24.6501,24.8901,24.0201,24.6801,1271556,1.6453,0.77,26556931.85
